TXNAME	GENEID
ENSDART00000189226.1	ENSDARG00000116470.1
ENSDART00000189431.1	ENSDARG00000116509.1
ENSDART00000160762.2	ENSDARG00000100554.2
ENSDART00000170804.2	ENSDARG00000098423.2
ENSDART00000165410.2	ENSDARG00000100191.2
ENSDART00000163675.2	ENSDARG00000103544.2
ENSDART00000171132.2	ENSDARG00000102001.2
ENSDART00000172037.2	ENSDARG00000101672.2
ENSDART00000161368.2	ENSDARG00000101768.2
ENSDART00000172374.2	ENSDARG00000099268.2
ENSDART00000167067.2	ENSDARG00000102757.2
ENSDART00000161271.2	ENSDARG00000104481.2
ENSDART00000163938.2	ENSDARG00000103438.2
ENSDART00000161622.2	ENSDARG00000104591.2
ENSDART00000162257.2	ENSDARG00000100541.2
ENSDART00000158119.2	ENSDARG00000099526.2
ENSDART00000169491.2	ENSDARG00000103150.2
ENSDART00000172528.2	ENSDARG00000101221.2
ENSDART00000166253.2	ENSDARG00000101033.2
ENSDART00000160948.2	ENSDARG00000104838.2
ENSDART00000161537.2	ENSDARG00000099052.2
ENSDART00000159235.2	ENSDARG00000100516.2
ENSDART00000171772.2	ENSDARG00000098629.2
ENSDART00000167404.2	ENSDARG00000101681.2
ENSDART00000171344.2	ENSDARG00000099064.2
ENSDART00000168039.2	ENSDARG00000104867.2
ENSDART00000157830.2	ENSDARG00000100158.2
ENSDART00000166182.2	ENSDARG00000102108.2
ENSDART00000167805.2	ENSDARG00000103506.2
ENSDART00000159795.2	ENSDARG00000099638.2
ENSDART00000160202.2	ENSDARG00000100801.2
ENSDART00000163851.2	ENSDARG00000101709.2
ENSDART00000161463.2	ENSDARG00000103552.2
ENSDART00000164491.2	ENSDARG00000116856.1
ENSDART00000158772.2	ENSDARG00000099074.2
ENSDART00000167409.2	ENSDARG00000109710.1
ENSDART00000160204.2	ENSDARG00000103583.2
ENSDART00000166882.2	ENSDARG00000113032.1
ENSDART00000171020.2	ENSDARG00000105150.2
ENSDART00000162456.2	ENSDARG00000114907.1
ENSDART00000164309.2	ENSDARG00000100017.2
ENSDART00000160996.2	ENSDARG00000103009.2
ENSDART00000166892.2	ENSDARG00000099454.2
ENSDART00000171613.2	ENSDARG00000099259.2
ENSDART00000164961.2	ENSDARG00000101685.2
ENSDART00000164492.2	ENSDARG00000102592.2
ENSDART00000158814.2	ENSDARG00000099769.2
ENSDART00000171201.2	ENSDARG00000098172.2
ENSDART00000164110.2	ENSDARG00000102189.2
ENSDART00000166029.2	ENSDARG00000102625.2
ENSDART00000165676.2	ENSDARG00000100951.2
ENSDART00000163282.2	ENSDARG00000099434.2
ENSDART00000167496.2	ENSDARG00000100237.2
ENSDART00000164659.2	ENSDARG00000102466.2
ENSDART00000164489.2	ENSDARG00000103104.2
ENSDART00000160625.2	ENSDARG00000098394.2
ENSDART00000169436.2	ENSDARG00000098496.2
ENSDART00000170399.2	ENSDARG00000100637.2
ENSDART00000162378.2	ENSDARG00000100345.2
ENSDART00000169864.2	ENSDARG00000099027.2
ENSDART00000164059.2	ENSDARG00000103876.2
ENSDART00000168607.2	ENSDARG00000103772.2
ENSDART00000161399.2	ENSDARG00000099140.2
ENSDART00000171483.2	ENSDARG00000101738.2
ENSDART00000171356.2	ENSDARG00000104046.2
ENSDART00000172182.2	ENSDARG00000100048.2
ENSDART00000113019.3	ENSDARG00000077393.3
ENSDART00000170523.2	ENSDARG00000102052.2
ENSDART00000160187.2	ENSDARG00000102809.2
ENSDART00000114271.4	ENSDARG00000076803.4
ENSDART00000159161.2	ENSDARG00000103096.2
ENSDART00000162061.2	ENSDARG00000103300.2
ENSDART00000169803.2	ENSDARG00000103653.2
ENSDART00000170923.2	ENSDARG00000104629.2
ENSDART00000171190.2	ENSDARG00000104629.2
ENSDART00000165811.2	ENSDARG00000104629.2
ENSDART00000167950.2	ENSDARG00000104629.2
ENSDART00000007487.9	ENSDARG00000003132.10
ENSDART00000162972.3	ENSDARG00000100002.3
ENSDART00000171570.2	ENSDARG00000102176.2
ENSDART00000168177.2	ENSDARG00000102176.2
ENSDART00000182440.1	ENSDARG00000086269.4
ENSDART00000162709.3	ENSDARG00000086269.4
ENSDART00000125149.3	ENSDARG00000086269.4
ENSDART00000168926.2	ENSDARG00000103849.2
ENSDART00000169180.2	ENSDARG00000020647.12
ENSDART00000165795.2	ENSDARG00000057055.9
ENSDART00000079649.6	ENSDARG00000057055.9
ENSDART00000160925.2	ENSDARG00000101665.2
ENSDART00000188827.1	ENSDARG00000101665.2
ENSDART00000171098.2	ENSDARG00000104684.2
ENSDART00000159824.2	ENSDARG00000104518.2
ENSDART00000162187.2	ENSDARG00000098675.2
ENSDART00000161350.2	ENSDARG00000102553.2
ENSDART00000193555.1	ENSDARG00000114873.1
ENSDART00000161459.2	ENSDARG00000103707.2
ENSDART00000184586.1	ENSDARG00000115333.1
ENSDART00000193441.1	ENSDARG00000115584.1
ENSDART00000185019.1	ENSDARG00000115889.1
ENSDART00000171681.2	ENSDARG00000113555.1
ENSDART00000165172.2	ENSDARG00000102408.2
ENSDART00000170440.2	ENSDARG00000103890.2
ENSDART00000168126.2	ENSDARG00000102246.2
ENSDART00000182863.1	ENSDARG00000114580.1
ENSDART00000166020.2	ENSDARG00000113964.1
ENSDART00000190775.1	ENSDARG00000115774.1
ENSDART00000167303.2	ENSDARG00000111519.1
ENSDART00000157393.2	ENSDARG00000100445.2
ENSDART00000166828.2	ENSDARG00000115560.1
ENSDART00000159011.2	ENSDARG00000101758.2
ENSDART00000190235.1	ENSDARG00000114801.1
ENSDART00000190038.1	ENSDARG00000114801.1
ENSDART00000164894.2	ENSDARG00000103626.2
ENSDART00000170926.2	ENSDARG00000109231.1
ENSDART00000166210.2	ENSDARG00000101058.2
ENSDART00000170448.2	ENSDARG00000101121.2
ENSDART00000171447.2	ENSDARG00000098938.2
ENSDART00000164734.2	ENSDARG00000100027.2
ENSDART00000167581.2	ENSDARG00000101820.2
ENSDART00000185656.1	ENSDARG00000113818.1
ENSDART00000186087.1	ENSDARG00000115241.1
ENSDART00000168960.2	ENSDARG00000103897.2
ENSDART00000161571.2	ENSDARG00000098489.2
ENSDART00000161136.2	ENSDARG00000114354.1
ENSDART00000161763.2	ENSDARG00000102854.2
ENSDART00000170691.2	ENSDARG00000102880.2
ENSDART00000191731.1	ENSDARG00000115580.1
ENSDART00000113547.3	ENSDARG00000075807.4
ENSDART00000159055.2	ENSDARG00000075807.4
ENSDART00000158148.2	ENSDARG00000100997.2
ENSDART00000167576.2	ENSDARG00000098795.2
ENSDART00000162921.2	ENSDARG00000100765.2
ENSDART00000182846.1	ENSDARG00000116599.1
ENSDART00000191760.1	ENSDARG00000112754.1
ENSDART00000162352.2	ENSDARG00000104194.2
ENSDART00000166454.2	ENSDARG00000098624.2
ENSDART00000180943.1	ENSDARG00000110784.1
ENSDART00000172223.2	ENSDARG00000099869.2
ENSDART00000166061.2	ENSDARG00000098274.2
ENSDART00000171126.2	ENSDARG00000116269.1
ENSDART00000183757.1	ENSDARG00000113034.1
ENSDART00000159092.2	ENSDARG00000099170.2
ENSDART00000180403.1	ENSDARG00000113108.1
ENSDART00000192804.1	ENSDARG00000115142.1
ENSDART00000167932.2	ENSDARG00000102522.2
ENSDART00000190928.1	ENSDARG00000109933.1
ENSDART00000158609.2	ENSDARG00000099394.2
ENSDART00000192441.1	ENSDARG00000116308.1
ENSDART00000187002.1	ENSDARG00000116308.1
ENSDART00000170206.2	ENSDARG00000101882.2
ENSDART00000159979.2	ENSDARG00000098163.2
ENSDART00000193507.1	ENSDARG00000113814.1
ENSDART00000159473.2	ENSDARG00000098498.2
ENSDART00000166370.2	ENSDARG00000110102.1
ENSDART00000181827.1	ENSDARG00000111775.1
ENSDART00000164120.2	ENSDARG00000100706.2
ENSDART00000168385.2	ENSDARG00000099028.2
ENSDART00000170860.2	ENSDARG00000102250.2
ENSDART00000160505.2	ENSDARG00000110275.1
ENSDART00000191315.1	ENSDARG00000110275.1
ENSDART00000158978.2	ENSDARG00000104132.2
ENSDART00000159628.2	ENSDARG00000104132.2
ENSDART00000171914.2	ENSDARG00000111335.1
ENSDART00000190142.1	ENSDARG00000115225.1
ENSDART00000163969.2	ENSDARG00000105200.2
ENSDART00000161690.2	ENSDARG00000099239.2
